DOCENTE RESPONSAVEL,CÓD.UC,NOME DA UC,APROVADOS,REPROVADOS,TOTAL
ADENAUER GIRARDI CASALI,4348,FENÔMENOS DO CONTÍNUO,27.94%,72.06%,68
ADENAUER GIRARDI CASALI,4369,FENÔMENOS MECÂNICOS,28.57%,71.43%,126
ADENAUER GIRARDI CASALI,5132,ANÁLISE DE SINAIS,44.65%,55.35%,477
ADENAUER GIRARDI CASALI,5777,FUNDAMENTOS DE MATLAB APLICADO À ENGENHARIA,62.96%,37.04%,27
ADENAUER GIRARDI CASALI,6112,ENGENHARIA MÉDICA APLICADA,54.83%,45.17%,259
ALINE CAPELLA DE OLIVEIRA,2828,CÁLCULO NUMÉRICO,86.41%,13.59%,103
ALINE CAPELLA DE OLIVEIRA,4350,QUÍMICA ORGÂNICA,95.65%,4.35%,92
ALINE CAPELLA DE OLIVEIRA,4764,CIÊNCIA E TECNOLOGIA DOS MATERIAIS,72.73%,27.27%,143
ALINE CAPELLA DE OLIVEIRA,5367,CÁLCULO EM UMA VARIÁVEL,55.93%,44.07%,59
ALINE CAPELLA DE OLIVEIRA,5787,TÉCNICAS EXPERIMENTAIS,92.38%,7.62%,223
ALINE CAPELLA DE OLIVEIRA,5876,TRATAMENTOS TÉRMICOS,95.97%,4.03%,397
ALINE CAPELLA DE OLIVEIRA,5877,PROCESSAMENTO DE MATERIAIS METÁLICOS,96.25%,3.75%,80
ALINE CAPELLA DE OLIVEIRA,5878,METALURGIA EXTRATIVA,97.44%,2.56%,39
ALINE CAPELLA DE OLIVEIRA,7751,ECOS - EM,89.9%,10.1%,99
ALVARO LUIZ FAZENDA,2651,ALGORITMOS E ESTRUTURAS DE DADOS,38.61%,61.39%,101
ALVARO LUIZ FAZENDA,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,80.48%,19.52%,251
ALVARO LUIZ FAZENDA,3580,PROGRAMAÇÃO CONCORRENTE E DISTRIBUÍDA,85.28%,14.72%,163
ANA CAROLINA LORENA,2471,PROGRAMAÇÃO ORIENTADA A OBJETOS,83.33%,16.67%,36
ANA CAROLINA LORENA,2615,COMPILADORES,98.21%,1.79%,112
ANA CAROLINA LORENA,3490,INTELIGÊNCIA ARTIFICIAL,86.36%,13.64%,22
ANA CAROLINA LORENA,6098,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: COMPILADORES,73.33%,26.67%,30
ANA CLAUDIA DA SILVA MOREIRA,2201,MATEMÁTICA DISCRETA,50.0%,50.0%,56
ANA CLAUDIA DA SILVA MOREIRA,2650,GEOMETRIA ANALÍTICA,23.08%,76.92%,26
ANA CLAUDIA DA SILVA MOREIRA,5367,CÁLCULO EM UMA VARIÁVEL,29.63%,70.37%,54
ANA LUISA DINE MARTINS LEMOS,2649,LÓGICA DE PROGRAMAÇÃO,70.61%,29.39%,456
ANA LUISA DINE MARTINS LEMOS,2651,ALGORITMOS E ESTRUTURAS DE DADOS,80.85%,19.15%,47
ANA LUISA DINE MARTINS LEMOS,3051,COMPUTAÇÃO GRÁFICA,75.58%,24.42%,172
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4348,FENÔMENOS DO CONTÍNUO,70.45%,29.55%,44
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4369,FENÔMENOS MECÂNICOS,57.8%,42.2%,327
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,98.11%,1.89%,53
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4748,FENÔMENOS ELETROMAGNÉTICOS,63.81%,36.19%,105
ANA MARIA DO ESPIRITO SANTO SLAPNIK,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,90.0%,10.0%,140
ANA MARIA DO ESPIRITO SANTO SLAPNIK,5746,FÍSICA GERAL,85.19%,14.81%,27
ANA PAULA DE MORAES,4714,INTRODUÇÃO À ECOLOGIA,77.94%,22.06%,68
ANA PAULA DE MORAES,5740,BIOLOGIA GERAL,72.73%,27.27%,55
ANA PAULA DE MORAES,5859,BOTÂNICA E FISIOLOGIA VEGETAL,70.83%,29.17%,48
ANA PAULA FONSECA ALBERS,4373,INTRODUÇÃO À ENGENHARIA DE MATERIAIS,85.14%,14.86%,74
ANA PAULA FONSECA ALBERS,4764,CIÊNCIA E TECNOLOGIA DOS MATERIAIS,62.96%,37.04%,27
ANA PAULA FONSECA ALBERS,5402,"VIDROS, VITROCERÂMICOS E VIDRADOS",98.52%,1.48%,135
ANA PAULA FONSECA ALBERS,5784,MATÉRIAS-PRIMAS CERÂMICAS,94.87%,5.13%,39
ANA PAULA FONSECA ALBERS,5787,TÉCNICAS EXPERIMENTAIS,93.94%,6.06%,99
ANA PAULA FONSECA ALBERS,5875,CERÂMICAS REFRATÁRIAS,93.83%,6.17%,243
ANA PAULA FONSECA ALBERS,6682,ENGENHARIA DE PRODUTOS CERÂMICOS,98.73%,1.27%,158
ANA PAULA LEMES,4370,QUÍMICA GERAL EXPERIMENTAL,57.78%,42.22%,90
ANA PAULA LEMES,4537,TECNOLOGIA E MEIO AMBIENTE,90.52%,9.48%,211
ANA PAULA LEMES,5144,MATERIAIS POLIMÉRICOS,90.69%,9.31%,408
ANA PAULA LEMES,6931,TÓPICOS ESPECIAIS EM CIÊNCIA E ENGENHARIA DE MATERIAIS II,95.56%,4.44%,45
ANA PAULA LEMES,8519,PROJETOS SUSTENTÁVEIS EM POLÍMEROS,94.44%,5.56%,72
ANDERSON GARBUGLIO DE OLIVEIRA,4370,QUÍMICA GERAL EXPERIMENTAL,74.07%,25.93%,54
ANDERSON GARBUGLIO DE OLIVEIRA,5704,QUÍMICA GERAL,68.18%,31.82%,44
ANDRE MARCORIN DE OLIVEIRA,6033,SISTEMAS EMBARCADOS,80.41%,19.59%,97
ANDRE MARCORIN DE OLIVEIRA,6089,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,97.56%,2.44%,41
ANDRE MARCORIN DE OLIVEIRA,8271,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: COMUNICAÇÃO DIGITAL,95.24%,4.76%,21
ANDRE ZELANIS PALITOT PEREIRA,5372,INTRODUÇÃO À BIOINFORMÁTICA,88.24%,11.76%,136
ANDRE ZELANIS PALITOT PEREIRA,5390,INTRODUÇÃO À BIOLOGIA DE SISTEMAS,89.08%,10.92%,119
ANDRE ZELANIS PALITOT PEREIRA,5703,FUNDAMENTOS DE BIOLOGIA MODERNA,72.43%,27.57%,816
ANGELO CALIL BIANCHI,2201,MATEMÁTICA DISCRETA,28.57%,71.43%,77
ANGELO CALIL BIANCHI,2475,ÁLGEBRA LINEAR,52.76%,47.24%,163
ANGELO CALIL BIANCHI,2650,GEOMETRIA ANALÍTICA,57.32%,42.68%,82
ANGELO CALIL BIANCHI,4187,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,29.07%,70.93%,86
ANTONIO AUGUSTO CHAVES,2616,LINGUAGENS FORMAIS E AUTÔMATOS,86.72%,13.28%,399
ANTONIO AUGUSTO CHAVES,2649,LÓGICA DE PROGRAMAÇÃO,52.27%,47.73%,44
ANTONIO AUGUSTO CHAVES,4409,INTRODUÇÃO À PESQUISA OPERACIONAL,64.0%,36.0%,25
ARLINDO FLAVIO DA CONCEICAO,2649,LÓGICA DE PROGRAMAÇÃO,60.55%,39.45%,109
ARLINDO FLAVIO DA CONCEICAO,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,51.85%,48.15%,27
ARLINDO FLAVIO DA CONCEICAO,3047,MULTIMÍDIA,54.55%,45.45%,22
ARLINDO FLAVIO DA CONCEICAO,6100,PROJETOS EM ENGENHARIA DE COMPUTAÇÃO,95.83%,4.17%,24
ARLINDO FLAVIO DA CONCEICAO,6101,SEMINÁRIOS INTERDISCIPLINARES,85.71%,14.29%,21
ARLINDO FLAVIO DA CONCEICAO,6169,TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO II,68.97%,31.03%,29
ARLINDO FLAVIO DA CONCEICAO,8822,SEMINÁRIOS MULTIDISCIPLINARES SOBRE CIÊNCIA E TECNOLOGIA,83.72%,16.28%,43
BRUNO YUJI LINO KIMURA,2612,SISTEMAS OPERACIONAIS,60.38%,39.62%,366
BRUNO YUJI LINO KIMURA,2617,REDES DE COMPUTADORES,72.98%,27.02%,248
BRUNO YUJI LINO KIMURA,2649,LÓGICA DE PROGRAMAÇÃO,52.22%,47.78%,90
CAMILA BERTINI MARTINS,2609,PROBABILIDADE E ESTATÍSTICA,67.31%,32.69%,52
CARLOS CESAR APARECIDO EGUTI,6110,AVANÇOS EM ENGENHARIA BIOMÉDICA,83.72%,16.28%,43
CARLOS MARCELO GURJAO DE GODOY,4374,METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA,87.63%,12.37%,97
CARLOS MARCELO GURJAO DE GODOY,4380,INTRODUÇÃO À ENGENHARIA BIOMÉDICA,90.08%,9.92%,121
